(.+),(.+),(\d+)
{ "Id": "[$1]_TO_[$2]", "Cost": $3, "City1Key": "$1", "City2Key": "$2", "City1Name": "$1", "City2Name": "$2"},

portland,seattle,3
portland,boise,13
portland,sanfrancisco,24

seattle,boise,12
seattle,billings,9

boise,billings,12
boise,cheyenne,24
boise,sanfrancisco,23
boise,saltlakecity,8

billings,fargo,17
billings,minneapolis,18
billings,cheyenne,9

denver,cheyenne,0
denver,saltlakecity,21
denver,santafe,13
denver,kansascity,16

cheyenne,minneapolis,18
cheyenne,omaha,14

omaha,minneapolis,8
omaha,chicago,13
omaha,kansascity,5


sanfrancisco,saltlakecity,27
sanfrancisco,lasvegas,14
sanfrancisco,losangeles,9

saltlakecity,lasvegas,18
saltlakecity,santafe,28

lasvegas,losangeles,9
lasvegas,sandiego,9
lasvegas,phoenix,15
lasvegas,santafe,27

losangeles,sandiego,3

sandiego,phoenix,14

phoenix,santafe,18

santafe,kansascity,16
santafe,oklahomacity,15
santafe,dallas,16
santafe,houston,21



houston,dallas,5
houston,neworleans,8

dallas,neworleans,12
dallas,memphis,12
dallas,oklahomacity,3

neworleans,birmingham,11
neworleans,memphis,7
neworleans,jacksonville,16

birmingham,memphis,6
birmingham,jacksonville,9
birmingham,atlanta,3

memphis,oklahomacity,14
memphis,kansascity,12
memphis,st.louis,7

oklahomacity,kansascity,8

kansascity,st.louis,6
kansascity,chicago,8



fargo,minneapolis,6
fargo,duluth,6

minneapolis,duluth,5
minneapolis,chicago,8

duluth,chicago,12
duluth,detroit,15

chicago,st.louis,10
chicago,cincinnati,7
chicago,detroit,7

st.louis,cincinnati,12
st.louis,atlanta,12

cincinnati,knoxville,6
cincinnati,detroit,4
cincinnati,pittsburgh,7
cincinnati,raleigh,15

knoxville,atlanta,5



detroit,buffalo,7
detroit,pittsburgh,6

buffalo,pittsburgh,7
buffalo,newyork,8

pittsburgh,washington,6
pittsburgh,raleigh,7

boston,newyork,3

newyork,philadelphia,0

philadelphia,washington,3

washington,norfolk,5



norfolk,raleigh,3

raleigh,atlanta,7
raleigh,savannah,7

atlanta,savannah,7

savannah,jacksonville,0

jacksonville,tampa,4

tampa,miami,4

